params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.7062035203,0.280890673399,0.044119888521,0.0608247722117,3,sqrt,5,53,182,0.20000000000000001,450,113,0.0516376857562,0.0582809843008,0.0441545867092,0.0605618128729,0.0402475232974,0.0630045430361,0.0465321465508,0.0609361092128,0.057996299919,0.0596102714631,0.064924084068,0.0590502257195,-0.00277216430922,0.0683093964513,0.0500340567539,0.0568448346375,0.505778236295,0.0238830822707,0.0191345110852,0.00331261474799
"{'max_leaf_nodes': 5, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.82241675258,0.348911851645,0.0442385114352,0.0608629389254,3,sqrt,5,53,182,0.20000000000000001,490,97,0.0516701618719,0.0581930505429,0.0441096926797,0.0604369903116,0.0402978651722,0.063179377754,0.0468494223425,0.060961019481,0.0580506008437,0.0595916348417,0.0649855303741,0.058995224061,-0.00227853511634,0.0685869716964,0.0500196738931,0.0569592427145,0.350071157192,0.0231090637811,0.0190022571344,0.00340384606145
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.5328977406,0.313913881779,0.0452994161972,0.0695726982039,3,log2,4,41,202,0.10000000000000001,450,57,0.0567896970713,0.0667140271813,0.041751652565,0.0696097412079,0.041243963759,0.0718895345464,0.0483124205718,0.0688199983059,0.0594937735755,0.0684006199417,0.0629057660318,0.0676668774476,-0.00693450048278,0.0779584115563,0.058638080223,0.0655223754443,0.0376560669235,0.0069089221068,0.0211478255738,0.00363728750355
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.60281172395,0.337033003569,0.0454026893984,0.0696355925948,3,log2,4,41,202,0.10000000000000001,490,41,0.0567818463713,0.0667597303544,0.0423040941549,0.0696314982434,0.0415975774782,0.0720547635649,0.0481585062911,0.0688109999743,0.0592875021703,0.0683912633799,0.062733493404,0.0675970905071,-0.00670736765013,0.07818981648,0.0588726625479,0.0656495782546,0.0326507647813,0.0223799141788,0.0210390852486,0.00370084186564
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.44767776132,0.292623400688,0.0442430160384,0.0609004668941,3,log2,4,41,202,0.20000000000000001,450,81,0.0517077395681,0.0581352761333,0.0442593413733,0.0606841908847,0.0403208805084,0.063032501103,0.0465836361685,0.0610698819146,0.0581017256778,0.0594220517965,0.065251802293,0.059351496929,-0.00263199829597,0.0685275633477,0.0501461415697,0.0569807730438,0.0193818271648,0.00750852957993,0.0191528018026,0.00336134173211
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.55368375778,0.328855752945,0.0442842569183,0.0608865329194,3,log2,4,41,202,0.20000000000000001,490,65,0.0516531650214,0.0580347060188,0.0440899322258,0.0604665865032,0.0402682812259,0.0630128013777,0.0468716482963,0.0610692834862,0.0580128595877,0.0593916672815,0.0651796777311,0.0592584330128,-0.00217571678973,0.0687605857129,0.050171343613,0.0570981999622,0.0198568318744,0.0150704638058,0.0190002811974,0.00342967187863
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.46178546548,0.302740246058,0.0453219175176,0.0697366511342,3,log2,4,41,182,0.10000000000000001,450,49,0.056311653925,0.0669166774356,0.0415622392572,0.0696459458107,0.0409622295249,0.0721727379345,0.0491334384009,0.0689177881647,0.0599412911731,0.0687841985437,0.0630149584244,0.0678136570222,-0.00686709223388,0.0780150810552,0.058320670385,0.0656271231068,0.0272747309251,0.00486098531611,0.021147940821,0.00361578534751
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.59166496992,0.332639396191,0.0454735045908,0.0697951019422,3,log2,4,41,182,0.10000000000000001,490,33,0.0563124863115,0.0669793494018,0.0422628150284,0.0696779368015,0.0413689982422,0.0723648704686,0.0489395563882,0.0689532979325,0.0598629636214,0.068668006319,0.0629491017838,0.0677490367606,-0.00668449617678,0.0782232220256,0.058581360805,0.0657450958283,0.0122311748139,0.00565177247421,0.0210693982395,0.00367673461175
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.45392999053,0.303022265434,0.044119888521,0.0608247722117,3,log2,4,41,182,0.20000000000000001,450,113,0.0516376857562,0.0582809843008,0.0441545867092,0.0605618128729,0.0402475232974,0.0630045430361,0.0465321465508,0.0609361092128,0.057996299919,0.0596102714631,0.064924084068,0.0590502257195,-0.00277216430922,0.0683093964513,0.0500340567539,0.0568448346375,0.0209183720568,0.0043462359371,0.0191345110852,0.00331261474799
"{'max_leaf_nodes': 4, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.5862210989,0.334041684866,0.0442385114352,0.0608629389254,3,log2,4,41,182,0.20000000000000001,490,97,0.0516701618719,0.0581930505429,0.0441096926797,0.0604369903116,0.0402978651722,0.063179377754,0.0468494223425,0.060961019481,0.0580506008437,0.0595916348417,0.0649855303741,0.058995224061,-0.00227853511634,0.0685869716964,0.0500196738931,0.0569592427145,0.0252794662688,0.0131735634432,0.0190022571344,0.00340384606145
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 3}",1.46884438396,0.304110616446,0.0452994161972,0.0695726982039,3,log2,4,53,202,0.10000000000000001,450,57,0.0567896970713,0.0667140271813,0.041751652565,0.0696097412079,0.041243963759,0.0718895345464,0.0483124205718,0.0688199983059,0.0594937735755,0.0684006199417,0.0629057660318,0.0676668774476,-0.00693450048278,0.0779584115563,0.058638080223,0.0655223754443,0.0244008088145,0.0185798938368,0.0211478255738,0.00363728750355
